,date,open,high,low,close,volume
582209,2020-07-17 01:00:00,0.12426,0.12474,0.12424,0.12461,424419.0
582239,2020-07-17 00:30:00,0.125,0.12514,0.125,0.1251,104378.0
582269,2020-07-17 00:00:00,0.1259,0.126,0.12581,0.12593,423133.0
582299,2020-07-16 23:30:00,0.1254,0.12559,0.1254,0.12549,211122.0
582329,2020-07-16 23:00:00,0.12602,0.12655,0.12602,0.12634,2334339.0
582359,2020-07-16 22:30:00,0.12529,0.12541,0.12522,0.12536,321201.0
582389,2020-07-16 22:00:00,0.12478,0.12512,0.12478,0.12502,455302.0
582419,2020-07-16 21:30:00,0.12464,0.12466,0.12456,0.12463,118300.0
582449,2020-07-16 21:00:00,0.12429,0.12438,0.12424,0.12426,228624.0
582479,2020-07-16 20:30:00,0.1233,0.12414,0.12329,0.12397,1737904.0
582509,2020-07-16 20:00:00,0.1248,0.12543,0.12477,0.12541,1580314.0
582539,2020-07-16 19:30:00,0.1252,0.12545,0.1252,0.12538,419319.0
582569,2020-07-16 19:00:00,0.12535,0.12563,0.12535,0.12554,292411.0
582599,2020-07-16 18:30:00,0.12684,0.12697,0.12621,0.12658,1529906.0
582629,2020-07-16 18:00:00,0.12632,0.12642,0.12627,0.12627,90009.0
582659,2020-07-16 17:30:00,0.12637,0.1264,0.12632,0.1264,105611.0
582689,2020-07-16 17:00:00,0.12465,0.12508,0.12465,0.12486,679900.0
582719,2020-07-16 16:30:00,0.1252,0.12528,0.12515,0.12522,299893.0
582749,2020-07-16 16:00:00,0.12608,0.12612,0.12578,0.12604,1116893.0
582779,2020-07-16 15:30:00,0.12621,0.12652,0.12613,0.12622,2309993.0
582809,2020-07-16 15:00:00,0.12412,0.12458,0.12412,0.12431,1961918.0
582839,2020-07-16 14:30:00,0.12222,0.12261,0.12212,0.12248,409658.0
582869,2020-07-16 14:00:00,0.12344,0.1238,0.12331,0.12372,1221363.0
582899,2020-07-16 13:30:00,0.12375,0.12411,0.12294,0.12397,7339038.0
582929,2020-07-16 13:00:00,0.12374,0.1242,0.12374,0.12415,2128271.0
582959,2020-07-16 12:30:00,0.12455,0.1247,0.12447,0.12451,1303802.0
582989,2020-07-16 12:00:00,0.12246,0.12273,0.12234,0.12268,1361866.0
583019,2020-07-16 11:30:00,0.12338,0.12339,0.12291,0.12313,954453.0
583049,2020-07-16 11:00:00,0.12266,0.12291,0.12255,0.12291,1236938.0
583079,2020-07-16 10:30:00,0.12139,0.12185,0.12132,0.12181,1168772.0
583109,2020-07-16 10:00:00,0.11947,0.11947,0.11817,0.11863,4251052.0
583139,2020-07-16 09:30:00,0.12269,0.1227,0.12234,0.12256,1253220.0
583169,2020-07-16 09:00:00,0.12425,0.12432,0.12399,0.12404,288516.0
583199,2020-07-16 08:30:00,0.12387,0.12403,0.12371,0.12397,385953.0
583229,2020-07-16 08:00:00,0.12399,0.12399,0.12356,0.12364,1365802.0
583259,2020-07-16 07:30:00,0.12367,0.12371,0.1231,0.12339,2747890.0
583289,2020-07-16 07:00:00,0.12693,0.12694,0.126,0.12631,5415423.0
583319,2020-07-16 06:30:00,0.12937,0.12954,0.12934,0.12938,84904.0
583349,2020-07-16 06:00:00,0.12885,0.12887,0.12868,0.12868,245674.0
583379,2020-07-16 05:30:00,0.12929,0.1293,0.12902,0.12918,311802.0
583409,2020-07-16 05:00:00,0.12815,0.1287,0.12805,0.12845,791855.0
583439,2020-07-16 04:30:00,0.13008,0.13028,0.12997,0.13001,579887.0
583469,2020-07-16 04:00:00,0.12973,0.12999,0.1297,0.12993,985678.0
583499,2020-07-16 03:30:00,0.13108,0.1311,0.13076,0.13081,376852.0
583529,2020-07-16 03:00:00,0.13077,0.1311,0.13077,0.13102,439525.0
583559,2020-07-16 02:30:00,0.13157,0.1317,0.13139,0.13141,246000.0
583589,2020-07-16 02:00:00,0.13215,0.13247,0.13215,0.13219,838496.0
583619,2020-07-16 01:30:00,0.13226,0.13238,0.1321,0.13219,1034129.0
583649,2020-07-16 01:00:00,0.13253,0.13265,0.13234,0.13234,284055.0
583679,2020-07-16 00:30:00,0.13092,0.13137,0.13088,0.13117,1746287.0
583709,2020-07-16 00:00:00,0.13074,0.13094,0.13073,0.13075,482828.0
583739,2020-07-15 23:30:00,0.13001,0.1303,0.13001,0.13021,268568.0
583769,2020-07-15 23:00:00,0.13032,0.13037,0.13031,0.13035,3646.0
583799,2020-07-15 22:30:00,0.13007,0.13019,0.13,0.13001,295738.0
583829,2020-07-15 22:00:00,0.13067,0.13097,0.13065,0.1308,910687.0
583859,2020-07-15 21:30:00,0.13006,0.13013,0.13001,0.13006,47308.0
583889,2020-07-15 21:00:00,0.13012,0.13019,0.13001,0.13008,118080.0
583919,2020-07-15 20:30:00,0.13007,0.13011,0.13003,0.13008,369851.0
583949,2020-07-15 20:00:00,0.12907,0.12911,0.12874,0.12878,931304.0
583979,2020-07-15 19:30:00,0.12975,0.1299,0.1297,0.12978,252302.0
584009,2020-07-15 19:00:00,0.12956,0.1298,0.12942,0.12974,1515141.0
584039,2020-07-15 18:30:00,0.13008,0.13008,0.12972,0.12986,225633.0
584069,2020-07-15 18:00:00,0.13001,0.13037,0.13,0.13033,470986.0
584099,2020-07-15 17:30:00,0.13077,0.1308,0.13057,0.1308,176923.0
584129,2020-07-15 17:00:00,0.13006,0.1303,0.13006,0.13026,421933.0
584159,2020-07-15 16:30:00,0.13018,0.1302,0.13008,0.13013,99212.0
584189,2020-07-15 16:00:00,0.12884,0.12889,0.1286,0.12874,1137456.0
584219,2020-07-15 15:30:00,0.13025,0.13035,0.13002,0.13019,1160821.0
584249,2020-07-15 15:00:00,0.13156,0.13161,0.1314,0.13152,358872.0
584279,2020-07-15 14:30:00,0.13173,0.13181,0.13164,0.13172,303856.0
584309,2020-07-15 14:00:00,0.13133,0.13149,0.13125,0.13127,621750.0
584339,2020-07-15 13:30:00,0.13181,0.13195,0.13181,0.13195,108967.0
584369,2020-07-15 13:00:00,0.13265,0.13292,0.13256,0.13276,1666919.0
584399,2020-07-15 12:30:00,0.13117,0.13117,0.1309,0.13111,365547.0
584429,2020-07-15 12:00:00,0.13083,0.1309,0.13069,0.13082,816257.0
584459,2020-07-15 11:30:00,0.13167,0.13178,0.13159,0.1316,563318.0
584489,2020-07-15 11:00:00,0.13071,0.13073,0.13035,0.13056,542837.0
584519,2020-07-15 10:30:00,0.12986,0.12986,0.1296,0.12978,540006.0
584549,2020-07-15 10:00:00,0.12874,0.12877,0.12851,0.12857,65021.0
584579,2020-07-15 09:30:00,0.12769,0.1277,0.1275,0.1277,525995.0
584609,2020-07-15 09:00:00,0.1291,0.1291,0.129,0.12902,114134.0
584639,2020-07-15 08:30:00,0.12851,0.12873,0.12827,0.12835,3745401.0
584669,2020-07-15 08:00:00,0.12866,0.12877,0.12853,0.12858,798738.0
584699,2020-07-15 07:30:00,0.1289,0.1291,0.1289,0.12892,470547.0
584729,2020-07-15 07:00:00,0.13088,0.13088,0.13054,0.13061,896030.0
584759,2020-07-15 06:30:00,0.13056,0.131,0.1305,0.13098,1430787.0
584789,2020-07-15 06:00:00,0.1323,0.13231,0.13207,0.13207,476130.0
584819,2020-07-15 05:30:00,0.13188,0.1319,0.13169,0.1317,369291.0
584849,2020-07-15 05:00:00,0.13205,0.13216,0.13191,0.13194,532585.0
584879,2020-07-15 04:30:00,0.13203,0.13213,0.13196,0.13211,101539.0
584909,2020-07-15 04:00:00,0.13158,0.13165,0.13151,0.13154,907819.0
584939,2020-07-15 03:30:00,0.13189,0.13232,0.13172,0.13232,1886232.0
584969,2020-07-15 03:00:00,0.131,0.13103,0.13094,0.13101,118875.0
584999,2020-07-15 02:30:00,0.13084,0.13087,0.13079,0.13083,84831.0
585029,2020-07-15 02:00:00,0.13165,0.1318,0.13162,0.13179,83993.0
585059,2020-07-15 01:30:00,0.13116,0.13117,0.13091,0.13099,715182.0
585089,2020-07-15 01:00:00,0.13149,0.13149,0.1311,0.13119,685057.0
