,date,open,high,low,close,volume
340728,2020-12-31 23:30:00,37.2157,37.2768,37.1934,37.2695,1272.491
340758,2020-12-31 23:00:00,37.2113,37.2193,37.1503,37.1503,532.014
340788,2020-12-31 22:30:00,36.993,36.9956,36.9829,36.9947,97.608
340818,2020-12-31 22:00:00,37.0449,37.0702,37.0445,37.053,459.493
340848,2020-12-31 21:30:00,37.047,37.0624,37.046,37.0581,239.247
340878,2020-12-31 21:00:00,37.1707,37.1948,37.1663,37.1935,463.814
340908,2020-12-31 20:30:00,37.1543,37.1722,37.1526,37.1582,94.874
340938,2020-12-31 20:00:00,37.14,37.1523,37.1148,37.1279,622.306
340968,2020-12-31 19:30:00,37.1273,37.1364,37.1112,37.1128,114.323
340998,2020-12-31 19:00:00,37.1045,37.1135,37.0899,37.0946,386.926
341028,2020-12-31 18:30:00,37.0061,37.0729,37.0008,37.0598,1122.261
341058,2020-12-31 18:00:00,37.1279,37.1279,37.0937,37.1152,598.671
341088,2020-12-31 17:30:00,37.2941,37.3339,37.2617,37.2617,3825.341
341118,2020-12-31 17:00:00,36.8935,36.9015,36.8169,36.897,1556.818
341148,2020-12-31 16:30:00,37.0133,37.0472,37.0027,37.0332,838.712
341178,2020-12-31 16:00:00,37.0881,37.1,36.5157,36.9521,17200.299
341208,2020-12-31 15:30:00,37.0302,37.0302,36.9751,36.9892,520.218
341238,2020-12-31 15:00:00,36.8412,36.852,36.747,36.8466,4645.779
341268,2020-12-31 14:30:00,36.8787,36.8787,36.7995,36.8526,1396.589
341298,2020-12-31 14:00:00,37.3431,37.3501,37.2554,37.263,1227.813
341328,2020-12-31 13:30:00,37.1641,37.2511,37.15,37.2364,1707.931
341358,2020-12-31 13:00:00,37.3986,37.3986,37.2938,37.3382,2611.134
341388,2020-12-31 12:30:00,37.6964,37.6964,37.6722,37.69,347.226
341418,2020-12-31 12:00:00,37.7884,37.89,37.7796,37.8816,912.487
341448,2020-12-31 11:30:00,37.9001,37.9397,37.8872,37.9079,655.511
341478,2020-12-31 11:00:00,38.0659,38.0758,37.9501,37.9539,1412.272
341508,2020-12-31 10:30:00,37.9548,37.9995,37.92,37.92,2293.489
341538,2020-12-31 10:00:00,37.6247,37.6584,37.6247,37.6494,987.826
341568,2020-12-31 09:30:00,37.5762,37.6388,37.5761,37.6316,1318.806
341598,2020-12-31 09:00:00,37.5056,37.569,37.489,37.5659,1743.64
341628,2020-12-31 08:30:00,37.4929,37.5081,37.4518,37.5009,960.521
341658,2020-12-31 08:00:00,37.6877,37.7084,37.6876,37.6999,720.888
341688,2020-12-31 07:30:00,37.8155,37.8291,37.7903,37.8,1339.003
341718,2020-12-31 07:00:00,37.5213,37.5424,37.5136,37.5376,432.278
341748,2020-12-31 06:30:00,37.5458,37.5583,37.53,37.5574,971.181
341778,2020-12-31 06:00:00,37.399,37.41,37.379,37.3884,914.203
341808,2020-12-31 05:30:00,37.3894,37.4495,37.3894,37.4339,1367.033
341838,2020-12-31 05:00:00,37.484,37.5,37.4606,37.49,1164.63
341868,2020-12-31 04:30:00,37.3726,37.4376,37.3725,37.4268,983.531
341898,2020-12-31 04:00:00,37.3331,37.4297,37.3331,37.3941,1754.958
341928,2020-12-31 03:30:00,37.3066,37.3196,37.2846,37.2851,1306.327
341958,2020-12-31 03:00:00,37.2286,37.2355,37.1463,37.1505,2015.222
341988,2020-12-31 02:30:00,37.2971,37.3236,37.2848,37.3165,1173.101
342018,2020-12-31 02:00:00,37.1469,37.1646,37.1341,37.1592,926.895
342048,2020-12-31 01:30:00,37.0232,37.1176,36.9892,37.1055,2766.521
342078,2020-12-31 01:00:00,37.4134,37.4936,37.3944,37.3951,3715.555
342108,2020-12-31 00:30:00,37.7099,37.75,37.684,37.7018,2792.04
342138,2020-12-31 00:00:00,38.1558,38.2133,38.1426,38.1759,2943.073
342168,2020-12-30 23:30:00,37.83,37.8797,37.83,37.8646,831.161
342198,2020-12-30 23:00:00,37.7674,37.787,37.74,37.7688,850.711
342228,2020-12-30 22:30:00,37.7267,37.7369,37.7185,37.7331,349.657
342258,2020-12-30 22:00:00,37.8132,37.8768,37.8128,37.8575,1232.218
342288,2020-12-30 21:30:00,37.845,37.8678,37.8224,37.8224,767.114
342318,2020-12-30 21:00:00,37.7946,37.9054,37.7946,37.8915,4993.807
342348,2020-12-30 20:30:00,37.7506,37.7955,37.741,37.7723,516.63
342378,2020-12-30 20:00:00,37.8464,37.8694,37.8299,37.8546,1479.107
342408,2020-12-30 19:30:00,37.5735,37.6,37.567,37.6,613.903
342438,2020-12-30 19:00:00,37.3946,37.4301,37.3872,37.4129,878.353
342468,2020-12-30 18:30:00,37.4699,37.4759,37.4115,37.4507,829.446
342498,2020-12-30 18:00:00,37.6039,37.604,37.5901,37.5911,198.657
342528,2020-12-30 17:30:00,37.6328,37.6328,37.5937,37.62,1139.671
342558,2020-12-30 17:00:00,37.685,37.6912,37.6115,37.6165,1905.432
342588,2020-12-30 16:30:00,37.4813,37.5195,37.473,37.5023,621.471
342618,2020-12-30 16:00:00,37.5723,37.6319,37.5391,37.6207,4027.757
342648,2020-12-30 15:30:00,37.5391,37.566,37.4625,37.49,8205.224
342678,2020-12-30 15:00:00,37.4831,37.4853,37.3857,37.3857,1293.416
342708,2020-12-30 14:30:00,37.3746,37.39,37.362,37.3809,1469.798
342738,2020-12-30 14:00:00,37.2283,37.393,37.2197,37.3518,4374.319
342768,2020-12-30 13:30:00,37.4224,37.426,37.4101,37.4226,166.31
342798,2020-12-30 13:00:00,37.3404,37.3567,37.3161,37.3567,614.625
342828,2020-12-30 12:30:00,37.0865,37.0999,37.0864,37.0976,518.771
342858,2020-12-30 12:00:00,37.2999,37.319,37.14,37.2036,4222.723
342888,2020-12-30 11:30:00,37.4954,37.5,37.4449,37.4869,2161.701
342918,2020-12-30 11:00:00,37.3673,37.373,37.3,37.3223,1302.1
342948,2020-12-30 10:30:00,37.5399,37.5999,37.5355,37.5576,2517.846
342978,2020-12-30 10:00:00,37.1158,37.1427,37.0789,37.115,1036.121
343008,2020-12-30 09:30:00,37.4546,37.4546,37.39,37.4012,1807.191
343038,2020-12-30 09:00:00,37.3562,37.3943,37.315,37.3943,1801.266
343068,2020-12-30 08:30:00,37.5692,37.6387,37.5415,37.5415,2358.069
343098,2020-12-30 08:00:00,37.8004,37.8153,37.7548,37.7657,1282.705
343128,2020-12-30 07:30:00,37.7403,37.7558,37.6813,37.6837,1708.613
343158,2020-12-30 07:00:00,37.7365,37.7964,37.7181,37.7679,2659.993
343188,2020-12-30 06:30:00,37.7709,37.8392,37.7673,37.8155,1957.818
343218,2020-12-30 06:00:00,37.9101,37.9153,37.8514,37.8947,1018.073
343248,2020-12-30 05:30:00,37.7201,37.8328,37.717,37.8271,4235.118
343278,2020-12-30 05:00:00,37.5076,37.5524,37.4934,37.5316,533.573
343308,2020-12-30 04:30:00,37.6428,37.6486,37.4693,37.5288,8738.127
343338,2020-12-30 04:00:00,37.779,37.85,37.7489,37.841,3867.296
343368,2020-12-30 03:30:00,37.7859,37.7935,37.7414,37.7797,2464.922
343398,2020-12-30 03:00:00,37.7625,37.8477,37.74,37.8353,2361.412
343428,2020-12-30 02:30:00,37.8521,37.9123,37.81,37.8255,3781.974
343458,2020-12-30 02:00:00,38.4141,38.4693,38.3095,38.3378,2999.381
343488,2020-12-30 01:30:00,38.3337,38.399,38.3337,38.399,1305.698
343518,2020-12-30 01:00:00,38.2601,38.2736,38.1637,38.1816,2125.083
343548,2020-12-30 00:30:00,38.4042,38.4357,38.2142,38.3255,6948.962
343578,2020-12-30 00:00:00,39.0746,39.1612,38.9935,39.1495,8779.887
343608,2020-12-29 23:30:00,38.42,38.4912,38.4126,38.4396,2448.719
343638,2020-12-29 23:00:00,38.2873,38.34,38.2872,38.3091,1914.648
343668,2020-12-29 22:30:00,38.0387,38.0439,38.0201,38.0399,392.065
343698,2020-12-29 22:00:00,38.1013,38.1087,38.0651,38.0759,958.099
343728,2020-12-29 21:30:00,38.2229,38.2348,38.1,38.1102,2067.52
343758,2020-12-29 21:00:00,37.7717,37.8526,37.7675,37.8526,2670.933
343788,2020-12-29 20:30:00,37.9498,38.0,37.9437,38.0,692.109
343818,2020-12-29 20:00:00,38.0551,38.1158,37.9472,38.0593,4435.755
343848,2020-12-29 19:30:00,38.3091,38.326,38.2511,38.2673,773.519
343878,2020-12-29 19:00:00,38.1233,38.1612,38.0768,38.1145,4434.021
343908,2020-12-29 18:30:00,38.092,38.1172,37.9778,37.9933,2830.794
343938,2020-12-29 18:00:00,37.663,37.675,37.6192,37.6192,2745.613
343968,2020-12-29 17:30:00,37.4695,37.5343,37.4695,37.4791,1881.595
343998,2020-12-29 17:00:00,37.4917,37.4956,37.45,37.4918,1393.494
344028,2020-12-29 16:30:00,37.6789,37.7837,37.6198,37.6275,4808.11
344058,2020-12-29 16:00:00,37.5854,37.6055,37.3924,37.4517,6162.698
344088,2020-12-29 15:30:00,37.775,37.8,37.7469,37.7981,1401.514
344118,2020-12-29 15:00:00,37.888,37.962,37.8656,37.9557,4876.2
344148,2020-12-29 14:30:00,37.9592,37.987,37.9379,37.9584,1206.926
344178,2020-12-29 14:00:00,38.1977,38.2292,38.1969,38.22,1293.157
344208,2020-12-29 13:30:00,38.1109,38.1127,38.0316,38.0699,1095.282
344238,2020-12-29 13:00:00,38.1356,38.1845,38.1356,38.1584,1021.594
344268,2020-12-29 12:30:00,38.3595,38.404,38.3,38.3062,3338.818
344298,2020-12-29 12:00:00,38.4533,38.5,38.4032,38.4187,4629.76
344328,2020-12-29 11:30:00,38.2,38.2093,38.0752,38.0964,4697.681
344358,2020-12-29 11:00:00,38.4807,38.5105,38.46,38.502,3329.778
344388,2020-12-29 10:30:00,38.24,38.2691,38.2066,38.2564,1451.526
344418,2020-12-29 10:00:00,38.397,38.56,38.3949,38.5113,1514.921
344448,2020-12-29 09:30:00,38.4999,38.5,38.454,38.4626,1627.109
344478,2020-12-29 09:00:00,38.3876,38.423,38.38,38.4229,1984.453
344508,2020-12-29 08:30:00,38.2058,38.25,38.1159,38.1195,3682.69
344538,2020-12-29 08:00:00,37.9356,38.0347,37.9005,37.9963,6150.653
344568,2020-12-29 07:30:00,37.662,37.7639,37.6528,37.754,1457.691
344598,2020-12-29 07:00:00,37.8797,37.9,37.8707,37.9,2316.306
344628,2020-12-29 06:30:00,37.7524,37.8576,37.7142,37.846,5935.112
344658,2020-12-29 06:00:00,37.9424,37.9537,37.7821,37.8068,13760.437
344688,2020-12-29 05:30:00,37.803,37.803,37.6697,37.7107,4702.712
344718,2020-12-29 05:00:00,38.1198,38.1234,38.0455,38.075,5606.722
344748,2020-12-29 04:30:00,38.1986,38.4,38.1986,38.3149,8474.821
344778,2020-12-29 04:00:00,39.5193,39.8197,39.1387,39.4038,68015.809
344808,2020-12-29 03:30:00,38.0768,38.09,37.6999,37.7808,49808.629
344838,2020-12-29 03:00:00,36.9504,36.9573,36.9405,36.9491,2165.17
344868,2020-12-29 02:30:00,36.6187,36.6247,36.5523,36.5772,3397.59
344898,2020-12-29 02:00:00,36.1849,36.1871,36.0105,36.0193,4113.611
344928,2020-12-29 01:30:00,35.573,35.6004,35.5613,35.5893,1212.902
344958,2020-12-29 01:00:00,35.7317,35.75,35.6055,35.6558,4841.86
344988,2020-12-29 00:30:00,36.1829,36.193,36.0944,36.0996,5644.089
345018,2020-12-29 00:00:00,35.9507,35.973,35.9255,35.973,5134.019
345048,2020-12-28 23:30:00,35.6198,35.6219,35.5904,35.619,1128.351
345078,2020-12-28 23:00:00,35.5493,35.56,35.4817,35.5407,1649.781
345108,2020-12-28 22:30:00,35.6812,35.6812,35.5637,35.607,5400.6
345138,2020-12-28 22:00:00,35.3424,35.355,35.2704,35.355,3576.977
345168,2020-12-28 21:30:00,35.57,35.5701,35.533,35.5567,533.55
345198,2020-12-28 21:00:00,35.3762,35.4141,35.3532,35.413,1478.583
345228,2020-12-28 20:30:00,35.5721,35.5777,35.5345,35.5627,939.779
345258,2020-12-28 20:00:00,35.77,35.77,35.6995,35.7476,1902.691
345288,2020-12-28 19:30:00,35.7117,35.75,35.7068,35.7141,5384.694
345318,2020-12-28 19:00:00,35.5817,35.6378,35.5523,35.6378,852.213
345348,2020-12-28 18:30:00,35.7047,35.7196,35.6904,35.7149,677.169
345378,2020-12-28 18:00:00,35.8887,35.9066,35.8606,35.885,1298.222
345408,2020-12-28 17:30:00,35.7776,35.8124,35.7768,35.7999,790.563
345438,2020-12-28 17:00:00,35.7674,35.7719,35.7021,35.7199,2815.622
345468,2020-12-28 16:30:00,35.6249,35.639,35.5658,35.5658,1388.358
345498,2020-12-28 16:00:00,35.0882,35.178,35.03,35.03,3544.608
345528,2020-12-28 15:30:00,35.3282,35.3463,35.25,35.3158,3230.319
345558,2020-12-28 15:00:00,35.4591,35.59,35.4591,35.509,9572.692
345588,2020-12-28 14:30:00,35.5168,35.52,35.4228,35.4346,1273.38
345618,2020-12-28 14:00:00,35.3888,35.4655,35.383,35.4608,2845.359
345648,2020-12-28 13:30:00,35.2005,35.2034,35.0823,35.1025,1962.426
345678,2020-12-28 13:00:00,35.1793,35.2133,35.1699,35.2133,2593.119
345708,2020-12-28 12:30:00,35.555,35.5924,35.529,35.535,1971.901
345738,2020-12-28 12:00:00,35.4785,35.5576,35.4747,35.547,1387.729
345768,2020-12-28 11:30:00,35.57,35.5701,35.5169,35.5246,2447.487
345798,2020-12-28 11:00:00,35.4896,35.5828,35.4673,35.5792,3733.364
345828,2020-12-28 10:30:00,35.8014,35.8754,35.7938,35.8282,8391.976
345858,2020-12-28 10:00:00,35.5456,35.7018,35.5246,35.7017,19304.006
345888,2020-12-28 09:30:00,35.2214,35.2577,35.2,35.2103,2730.327
345918,2020-12-28 09:00:00,35.1896,35.2106,35.0902,35.109,2227.186
345948,2020-12-28 08:30:00,35.069,35.1222,35.0672,35.11,1997.419
345978,2020-12-28 08:00:00,35.1963,35.2875,35.1941,35.2454,3199.714
346008,2020-12-28 07:30:00,35.1695,35.1938,35.0848,35.09,2673.242
346038,2020-12-28 07:00:00,34.7292,34.736,34.7202,34.736,1838.847
346068,2020-12-28 06:30:00,34.7241,34.7696,34.7184,34.7661,1574.049
346098,2020-12-28 06:00:00,34.8519,34.8823,34.8295,34.8414,2470.969
346128,2020-12-28 05:30:00,35.0798,35.1108,35.0701,35.0916,2589.967
346158,2020-12-28 05:00:00,34.5593,34.5935,34.5478,34.5934,2805.752
346188,2020-12-28 04:30:00,34.7472,34.7824,34.724,34.7637,1723.186
346218,2020-12-28 04:00:00,34.6648,34.69,34.6271,34.6271,5996.992
346248,2020-12-28 03:30:00,34.3303,34.3838,34.323,34.3308,3234.173
346278,2020-12-28 03:00:00,34.3747,34.4238,34.3747,34.4172,1887.235
346308,2020-12-28 02:30:00,34.2681,34.3005,34.2558,34.2853,910.262
346338,2020-12-28 02:00:00,34.3726,34.4694,34.3719,34.46,4564.612
346368,2020-12-28 01:30:00,34.3268,34.3348,34.262,34.2921,1271.912
346398,2020-12-28 01:00:00,34.2224,34.2357,34.1462,34.1864,3227.555
346428,2020-12-28 00:30:00,34.2071,34.2714,34.1065,34.176,6940.37
346458,2020-12-28 00:00:00,33.6741,33.6914,33.6,33.6497,5814.53
346488,2020-12-27 23:30:00,33.5928,33.6481,33.586,33.6382,1126.37
346518,2020-12-27 23:00:00,33.488,33.4892,33.4607,33.4799,644.244
346548,2020-12-27 22:30:00,33.5265,33.5265,33.4459,33.4562,2284.596
346578,2020-12-27 22:00:00,33.5298,33.5522,33.4505,33.5336,1704.875
346608,2020-12-27 21:30:00,33.2775,33.4161,33.2716,33.3996,1577.333
346638,2020-12-27 21:00:00,33.2618,33.3778,33.2021,33.31,4718.304
346668,2020-12-27 20:30:00,33.9821,34.0714,33.9821,34.0581,1672.787
346698,2020-12-27 20:00:00,34.4675,34.4999,34.4429,34.4613,2053.314
346728,2020-12-27 19:30:00,34.2886,34.3306,34.2886,34.314,2244.461
346758,2020-12-27 19:00:00,34.2674,34.2849,34.2305,34.2665,1685.047
346788,2020-12-27 18:30:00,34.2689,34.2705,34.2414,34.2576,758.596
346818,2020-12-27 18:00:00,34.1401,34.2198,34.1277,34.2157,2305.97
346848,2020-12-27 17:30:00,34.2886,34.3111,34.2496,34.2496,675.629
346878,2020-12-27 17:00:00,34.4143,34.4836,34.3513,34.4267,4643.216
346908,2020-12-27 16:30:00,34.3821,34.4244,34.2571,34.2766,5639.146
346938,2020-12-27 16:00:00,34.7365,34.7958,34.62,34.7533,8642.158
346968,2020-12-27 15:30:00,34.3853,34.5763,34.3851,34.4968,10731.322
346998,2020-12-27 15:00:00,34.3356,34.4853,34.3262,34.4853,9641.72
347028,2020-12-27 14:30:00,33.8148,34.0175,33.8148,33.9759,15449.729
347058,2020-12-27 14:00:00,33.3489,33.3594,33.2759,33.2973,2223.032
347088,2020-12-27 13:30:00,32.8614,32.8673,32.7403,32.8101,4619.861
347118,2020-12-27 13:00:00,32.7278,32.7784,32.7128,32.7539,1025.5
347148,2020-12-27 12:30:00,32.2713,32.302,32.2,32.2718,3027.766
347178,2020-12-27 12:00:00,32.7226,32.7226,32.585,32.6293,4187.612
347208,2020-12-27 11:30:00,33.1952,33.2229,33.0993,33.11,4429.143
347238,2020-12-27 11:00:00,33.32,33.3243,33.2753,33.2754,3102.544
347268,2020-12-27 10:30:00,33.4273,33.4404,33.3691,33.3918,4082.274
347298,2020-12-27 10:00:00,33.2295,33.2328,33.186,33.2051,1454.05
347328,2020-12-27 09:30:00,33.3094,33.3283,33.2989,33.3074,396.098
347358,2020-12-27 09:00:00,33.1963,33.2158,33.031,33.0914,9858.194
347388,2020-12-27 08:30:00,33.4644,33.4769,33.4501,33.4617,782.677
347418,2020-12-27 08:00:00,33.7321,33.8157,33.721,33.7686,1184.85
347448,2020-12-27 07:30:00,33.9912,34.0332,33.9806,34.0324,1755.444
347478,2020-12-27 07:00:00,33.8267,33.8799,33.8267,33.8742,1555.97
347508,2020-12-27 06:30:00,33.9632,34.0269,33.9629,34.004,3241.231
347538,2020-12-27 06:00:00,33.8547,33.877,33.8191,33.8634,3246.597
347568,2020-12-27 05:30:00,34.0316,34.0973,34.0316,34.0971,1003.399
347598,2020-12-27 05:00:00,33.9704,34.027,33.9603,33.9922,2441.346
347628,2020-12-27 04:30:00,34.1167,34.1408,34.1,34.1,1120.982
347658,2020-12-27 04:00:00,34.0201,34.0952,34.0199,34.082,1712.996
347688,2020-12-27 03:30:00,34.2182,34.3,34.2054,34.2807,4875.044
347718,2020-12-27 03:00:00,33.7101,33.7589,33.7101,33.7573,1477.514
347748,2020-12-27 02:30:00,33.8593,33.8888,33.8154,33.841,3325.023
347778,2020-12-27 02:00:00,33.5116,33.5167,33.4542,33.468,1634.652
347808,2020-12-27 01:30:00,33.4946,33.5517,33.4827,33.5516,2408.939
