,date,open,high,low,close,volume
340727,2020-12-31 23:30:00,29002.88,29003.16,28905.71,28926.55,71.978359
340757,2020-12-31 23:00:00,29100.83,29110.35,29035.59,29059.99,42.525867
340787,2020-12-31 22:30:00,29062.91,29066.11,29062.63,29064.38,7.263774
340817,2020-12-31 22:00:00,28966.36,29006.01,28966.36,29006.01,27.105258
340847,2020-12-31 21:30:00,29094.71,29117.57,29094.71,29117.56,30.651388
340877,2020-12-31 21:00:00,29126.71,29140.0,29102.19,29118.48,56.753514
340907,2020-12-31 20:30:00,28887.39,28898.97,28872.23,28876.11,17.402393
340937,2020-12-31 20:00:00,28897.84,28917.26,28889.02,28915.18,20.900971
340967,2020-12-31 19:30:00,28926.39,28947.32,28925.05,28947.32,43.939181
340997,2020-12-31 19:00:00,28872.24,28892.08,28858.28,28863.37,29.767364
341027,2020-12-31 18:30:00,28749.0,28800.0,28749.0,28796.36,45.423093
341057,2020-12-31 18:00:00,28571.97,28593.56,28532.06,28541.53,30.612153
341087,2020-12-31 17:30:00,28644.3,28654.05,28625.04,28626.51,43.797627
341117,2020-12-31 17:00:00,28382.47,28400.0,28362.0,28400.0,98.089473
341147,2020-12-31 16:30:00,28641.23,28665.92,28640.98,28650.53,20.250003
341177,2020-12-31 16:00:00,28782.01,28821.85,28763.94,28811.85,95.835795
341207,2020-12-31 15:30:00,28562.55,28564.53,28562.52,28562.54,22.966744
341237,2020-12-31 15:00:00,28371.52,28406.66,28369.53,28404.21,47.264852
341267,2020-12-31 14:30:00,28214.49,28223.12,28204.5,28218.48,59.008833
341297,2020-12-31 14:00:00,28519.25,28523.47,28435.19,28447.93,51.898469
341327,2020-12-31 13:30:00,28355.01,28420.0,28335.57,28394.48,91.551875
341357,2020-12-31 13:00:00,28617.65,28618.29,28507.52,28585.28,127.327064
341387,2020-12-31 12:30:00,28848.94,28875.37,28822.24,28870.61,44.261549
341417,2020-12-31 12:00:00,28910.29,28952.17,28833.6,28944.43,203.964883
341447,2020-12-31 11:30:00,29007.29,29017.67,28999.51,29010.37,32.104026
341477,2020-12-31 11:00:00,29136.49,29140.0,29099.45,29109.21,31.048437
341507,2020-12-31 10:30:00,29103.73,29106.98,29070.0,29084.56,34.829907
341537,2020-12-31 10:00:00,28989.99,28990.0,28961.44,28964.81,23.112054
341567,2020-12-31 09:30:00,28857.31,28888.42,28857.31,28882.85,24.589276
341597,2020-12-31 09:00:00,28926.32,28946.74,28890.21,28896.12,35.771585
341627,2020-12-31 08:30:00,28857.99,28884.33,28848.09,28882.6,32.391419
341657,2020-12-31 08:00:00,29155.24,29210.83,29155.24,29179.56,53.44323
341687,2020-12-31 07:30:00,29179.41,29249.86,29179.4,29243.61,62.617529
341717,2020-12-31 07:00:00,28859.02,28944.73,28859.02,28940.0,41.829889
341747,2020-12-31 06:30:00,28940.33,28943.07,28920.01,28922.13,18.186714
341777,2020-12-31 06:00:00,28972.2,29008.72,28970.19,29008.71,42.704232
341807,2020-12-31 05:30:00,28897.26,28965.56,28896.37,28934.22,65.158925
341837,2020-12-31 05:00:00,29028.34,29031.66,29008.21,29015.32,12.162466
341867,2020-12-31 04:30:00,29044.55,29061.68,29029.48,29058.19,38.048361
341897,2020-12-31 04:00:00,29024.01,29068.05,29022.37,29051.36,51.450818
341927,2020-12-31 03:30:00,28937.91,28994.98,28937.91,28976.88,67.197035
341957,2020-12-31 03:00:00,28720.48,28737.99,28720.0,28737.98,23.930266
341987,2020-12-31 02:30:00,28716.69,28780.11,28716.69,28771.67,43.983771
342017,2020-12-31 02:00:00,28743.58,28748.0,28675.13,28709.99,75.304844
342047,2020-12-31 01:30:00,28456.39,28500.0,28401.49,28500.0,72.216588
342077,2020-12-31 01:00:00,29120.5,29177.41,29096.26,29098.17,77.742209
342107,2020-12-31 00:30:00,29204.5,29233.32,29198.86,29203.78,36.598689
342137,2020-12-31 00:00:00,28875.55,28912.54,28869.78,28904.2,61.23282
342167,2020-12-30 23:30:00,28818.43,28831.97,28803.13,28819.97,23.906204
342197,2020-12-30 23:00:00,28704.0,28727.0,28696.67,28699.01,30.097686
342227,2020-12-30 22:30:00,28861.42,28865.36,28853.99,28855.0,50.35066
342257,2020-12-30 22:00:00,28875.21,28885.47,28867.37,28884.08,19.195094
342287,2020-12-30 21:30:00,28857.95,28906.87,28857.95,28905.89,80.148012
342317,2020-12-30 21:00:00,28785.67,28794.82,28680.0,28761.62,120.942506
342347,2020-12-30 20:30:00,28749.89,28779.99,28747.86,28767.94,53.530946
342377,2020-12-30 20:00:00,28776.45,28807.47,28756.68,28792.81,96.206412
342407,2020-12-30 19:30:00,28793.43,28837.07,28780.0,28837.06,43.620744
342437,2020-12-30 19:00:00,28510.86,28560.0,28504.67,28557.69,198.91966
342467,2020-12-30 18:30:00,28333.41,28333.96,28295.37,28330.72,51.801647
342497,2020-12-30 18:00:00,28239.68,28256.58,28239.68,28247.74,45.088816
342527,2020-12-30 17:30:00,28163.85,28200.0,28162.9,28199.99,23.980069
342557,2020-12-30 17:00:00,28153.77,28153.78,28140.18,28143.58,25.610567
342587,2020-12-30 16:30:00,28095.65,28126.06,28092.64,28099.99,45.065327
342617,2020-12-30 16:00:00,28153.75,28211.71,28150.37,28194.31,79.433684
342647,2020-12-30 15:30:00,28147.08,28147.08,28100.0,28127.37,72.535218
342677,2020-12-30 15:00:00,28182.98,28200.0,28110.47,28114.84,147.243384
342707,2020-12-30 14:30:00,27976.67,27983.26,27939.27,27961.24,51.617725
342737,2020-12-30 14:00:00,27871.05,27932.69,27871.05,27917.05,73.205091
342767,2020-12-30 13:30:00,27960.16,27963.0,27941.43,27944.25,20.294986
342797,2020-12-30 13:00:00,27858.72,27910.0,27856.57,27893.72,45.605414
342827,2020-12-30 12:30:00,27688.77,27688.77,27659.78,27673.2,24.60834
342857,2020-12-30 12:00:00,27836.95,27853.61,27820.26,27837.76,55.704579
342887,2020-12-30 11:30:00,27910.89,27910.89,27857.52,27857.52,30.873978
342917,2020-12-30 11:00:00,27850.02,27850.03,27780.0,27798.25,86.582566
342947,2020-12-30 10:30:00,28028.03,28063.97,27984.43,27984.43,83.95172
342977,2020-12-30 10:00:00,27855.91,27861.37,27815.18,27827.15,39.242565
343007,2020-12-30 09:30:00,27777.74,27784.97,27726.87,27736.09,67.301921
343037,2020-12-30 09:00:00,27732.86,27738.28,27603.06,27674.23,214.319262
343067,2020-12-30 08:30:00,27963.57,28083.41,27961.34,28018.11,312.637195
343097,2020-12-30 08:00:00,28389.02,28420.51,28371.0,28384.3,92.356656
343127,2020-12-30 07:30:00,28428.6,28441.1,28378.0,28379.35,49.259768
343157,2020-12-30 07:00:00,28379.99,28458.02,28360.01,28440.85,91.244367
343187,2020-12-30 06:30:00,28262.21,28400.0,28262.2,28325.79,493.825093
343217,2020-12-30 06:00:00,28016.74,28049.89,28011.74,28036.72,48.090766
343247,2020-12-30 05:30:00,27886.02,27929.21,27877.58,27929.21,38.024006
343277,2020-12-30 05:00:00,27897.49,27945.58,27895.57,27942.72,46.095355
343307,2020-12-30 04:30:00,27906.12,27909.32,27867.51,27870.24,41.596967
343337,2020-12-30 04:00:00,28066.57,28149.31,28055.01,28096.76,245.231182
343367,2020-12-30 03:30:00,27958.96,27958.96,27901.43,27940.0,67.064926
343397,2020-12-30 03:00:00,28000.0,28100.0,27998.94,28098.86,362.888031
343427,2020-12-30 02:30:00,27779.12,27800.0,27766.42,27768.9,87.94241
343457,2020-12-30 02:00:00,27615.84,27670.13,27607.47,27646.0,45.981127
343487,2020-12-30 01:30:00,27557.13,27585.0,27555.86,27578.71,25.250937
343517,2020-12-30 01:00:00,27630.75,27654.93,27589.66,27604.32,62.397721
343547,2020-12-30 00:30:00,27744.63,27795.0,27720.9,27739.59,98.527361
343577,2020-12-30 00:00:00,27385.0,27436.73,27374.87,27432.59,128.595198
343607,2020-12-29 23:30:00,27132.84,27195.33,27130.17,27185.69,83.771868
343637,2020-12-29 23:00:00,27048.34,27074.98,27048.32,27057.89,38.950655
343667,2020-12-29 22:30:00,26907.28,26915.0,26904.07,26915.0,32.584784
343697,2020-12-29 22:00:00,26911.36,26929.22,26903.11,26925.27,30.695104
343727,2020-12-29 21:30:00,26998.45,27001.95,26880.0,26900.0,116.80618
343757,2020-12-29 21:00:00,26990.0,27000.0,26983.71,26999.99,40.688074
343787,2020-12-29 20:30:00,26880.72,26886.51,26839.47,26865.45,34.660556
343817,2020-12-29 20:00:00,26931.51,26988.0,26922.19,26961.2,193.957244
343847,2020-12-29 19:30:00,26791.44,26800.69,26780.75,26789.44,42.323512
343877,2020-12-29 19:00:00,26591.38,26623.83,26581.32,26621.9,72.08227
343907,2020-12-29 18:30:00,26697.29,26714.32,26662.89,26666.76,41.447445
343937,2020-12-29 18:00:00,26621.08,26652.95,26600.14,26608.1,79.310851
343967,2020-12-29 17:30:00,26429.75,26458.71,26423.26,26426.03,53.661599
343997,2020-12-29 17:00:00,26428.1,26472.0,26403.27,26468.75,57.98474
344027,2020-12-29 16:30:00,26322.81,26345.01,26289.46,26292.68,76.860664
344057,2020-12-29 16:00:00,26615.28,26625.99,26564.76,26574.48,76.787559
344087,2020-12-29 15:30:00,26527.69,26542.86,26506.99,26518.19,43.781763
344117,2020-12-29 15:00:00,26664.49,26691.43,26655.83,26655.83,57.445772
344147,2020-12-29 14:30:00,26802.27,26828.64,26802.27,26825.0,39.943492
344177,2020-12-29 14:00:00,26880.01,26902.22,26878.38,26892.17,24.300818
344207,2020-12-29 13:30:00,26862.97,26867.8,26802.0,26837.26,59.922936
344237,2020-12-29 13:00:00,26893.22,26956.85,26889.92,26950.16,68.643421
344267,2020-12-29 12:30:00,27028.78,27050.0,27006.18,27010.14,47.719011
344297,2020-12-29 12:00:00,26874.55,26948.0,26862.95,26926.11,181.382539
344327,2020-12-29 11:30:00,26684.98,26695.47,26626.21,26633.83,77.637866
344357,2020-12-29 11:00:00,26741.04,26750.73,26732.65,26747.11,21.376829
344387,2020-12-29 10:30:00,26848.12,26860.0,26830.07,26844.68,117.1507
344417,2020-12-29 10:00:00,26586.94,26638.69,26586.43,26636.77,29.489132
344447,2020-12-29 09:30:00,26651.55,26667.82,26651.5,26651.5,32.669236
344477,2020-12-29 09:00:00,26660.6,26673.51,26658.5,26669.7,24.122975
344507,2020-12-29 08:30:00,26499.83,26499.83,26464.79,26465.34,22.375934
344537,2020-12-29 08:00:00,26436.53,26448.0,26434.49,26441.0,27.505505
344567,2020-12-29 07:30:00,26203.99,26239.98,26200.76,26234.34,19.600297
344597,2020-12-29 07:00:00,26356.23,26356.23,26337.99,26348.55,19.388085
344627,2020-12-29 06:30:00,26433.92,26434.88,26403.38,26428.03,27.33965
344657,2020-12-29 06:00:00,26452.4,26466.8,26390.03,26408.49,109.370833
344687,2020-12-29 05:30:00,26216.4,26216.4,26100.21,26117.01,139.625579
344717,2020-12-29 05:00:00,26489.07,26492.0,26457.53,26463.94,39.242961
344747,2020-12-29 04:30:00,26528.85,26545.94,26502.04,26504.51,58.09293
344777,2020-12-29 04:00:00,26445.5,26448.06,26320.94,26416.67,353.32423
344807,2020-12-29 03:30:00,26664.49,26666.58,26630.0,26630.03,27.265787
344837,2020-12-29 03:00:00,26858.37,26863.07,26845.31,26853.77,34.133995
344867,2020-12-29 02:30:00,26865.47,26865.47,26843.65,26848.44,22.191262
344897,2020-12-29 02:00:00,26829.64,26829.64,26792.33,26805.49,29.541137
344927,2020-12-29 01:30:00,26746.53,26787.64,26738.51,26787.25,21.344103
344957,2020-12-29 01:00:00,26811.27,26814.75,26761.34,26768.97,70.67737
344987,2020-12-29 00:30:00,26923.55,26928.85,26868.53,26871.79,43.77475
345017,2020-12-29 00:00:00,27079.42,27116.78,27072.65,27082.44,47.568676
345047,2020-12-28 23:30:00,27099.99,27100.0,27071.77,27091.31,40.971094
345077,2020-12-28 23:00:00,26891.69,26891.7,26836.01,26853.41,33.917196
345107,2020-12-28 22:30:00,26772.73,26774.13,26700.11,26705.11,52.858555
345137,2020-12-28 22:00:00,26627.31,26663.82,26620.71,26660.26,74.853281
345167,2020-12-28 21:30:00,26929.72,26929.72,26902.55,26914.3,33.298153
345197,2020-12-28 21:00:00,26866.97,26882.73,26856.31,26873.25,34.748781
345227,2020-12-28 20:30:00,26852.18,26852.18,26801.26,26832.45,79.310745
345257,2020-12-28 20:00:00,26996.73,27010.0,26983.19,27007.87,55.768145
345287,2020-12-28 19:30:00,27102.9,27112.33,27044.18,27110.3,51.292991
345317,2020-12-28 19:00:00,27022.83,27093.69,27016.41,27081.7,80.457335
345347,2020-12-28 18:30:00,27142.45,27157.9,27123.65,27149.1,43.165547
345377,2020-12-28 18:00:00,27140.89,27153.83,27139.9,27153.75,37.438252
345407,2020-12-28 17:30:00,27114.57,27150.0,27114.56,27149.99,59.209493
345437,2020-12-28 17:00:00,27066.43,27071.94,27039.01,27062.87,30.725215
345467,2020-12-28 16:30:00,27075.01,27096.13,27067.97,27067.97,34.646649
345497,2020-12-28 16:00:00,26916.32,27007.12,26843.22,26843.24,178.765229
345527,2020-12-28 15:30:00,27075.79,27117.75,27072.46,27113.92,44.766345
345557,2020-12-28 15:00:00,27276.13,27320.0,27250.0,27261.56,88.390026
345587,2020-12-28 14:30:00,27279.17,27287.04,27253.23,27261.1,53.375727
345617,2020-12-28 14:00:00,27249.22,27348.53,27249.22,27331.1,99.213626
345647,2020-12-28 13:30:00,27433.97,27500.0,27372.27,27393.22,272.914508
345677,2020-12-28 13:00:00,27097.27,27190.0,27097.27,27186.84,89.436326
345707,2020-12-28 12:30:00,27007.95,27090.0,27007.94,27075.92,127.230429
345737,2020-12-28 12:00:00,26859.07,26859.07,26830.57,26830.68,106.446185
345767,2020-12-28 11:30:00,26786.65,26786.66,26754.55,26754.55,37.470199
345797,2020-12-28 11:00:00,26720.02,26749.91,26714.57,26747.67,31.408975
345827,2020-12-28 10:30:00,26772.72,26779.99,26746.77,26760.44,35.686565
345857,2020-12-28 10:00:00,26835.84,26881.04,26830.0,26863.37,37.989501
345887,2020-12-28 09:30:00,26997.97,27000.0,26943.78,26944.34,43.784548
345917,2020-12-28 09:00:00,26936.25,26936.25,26875.0,26875.0,59.836415
345947,2020-12-28 08:30:00,26907.5,26931.36,26897.93,26923.38,45.13021
345977,2020-12-28 08:00:00,27001.32,27047.8,27000.07,27013.03,52.414652
346007,2020-12-28 07:30:00,27113.77,27140.0,27107.77,27111.54,66.156254
346037,2020-12-28 07:00:00,27056.15,27061.93,27033.27,27044.13,28.082232
346067,2020-12-28 06:30:00,26954.97,26973.0,26942.32,26959.99,31.972886
346097,2020-12-28 06:00:00,26942.62,26964.21,26885.34,26900.73,79.115738
346127,2020-12-28 05:30:00,27121.86,27129.84,27080.0,27091.02,35.785987
346157,2020-12-28 05:00:00,26864.1,26910.38,26854.0,26879.99,84.43817
346187,2020-12-28 04:30:00,26977.49,27017.28,26977.49,27014.01,28.033696
346217,2020-12-28 04:00:00,27275.66,27332.0,27250.0,27250.01,138.022375
346247,2020-12-28 03:30:00,27087.89,27105.06,27077.46,27077.46,15.709593
346277,2020-12-28 03:00:00,27082.52,27164.48,27082.52,27154.61,61.886577
346307,2020-12-28 02:30:00,27015.01,27034.96,27015.0,27021.38,24.273657
346337,2020-12-28 02:00:00,27060.42,27083.85,27040.01,27083.84,39.830049
346367,2020-12-28 01:30:00,27192.38,27200.35,27144.76,27161.94,70.712401
346397,2020-12-28 01:00:00,26877.69,26877.7,26800.01,26820.18,68.210918
346427,2020-12-28 00:30:00,26773.04,26839.25,26767.0,26814.73,105.670889
346457,2020-12-28 00:00:00,26281.54,26406.72,26253.57,26370.75,151.601767
