,date,open,high,low,close,volume
340728,2020-12-31 23:30:00,2.5971,2.5974,2.5941,2.5941,3945.11
340758,2020-12-31 23:00:00,2.5962,2.5965,2.5947,2.5949,4187.08
340788,2020-12-31 22:30:00,2.5959,2.5959,2.5909,2.591,8033.05
340818,2020-12-31 22:00:00,2.5865,2.6061,2.5865,2.6039,147033.73
340848,2020-12-31 21:30:00,2.5837,2.5857,2.5837,2.5857,980.55
340878,2020-12-31 21:00:00,2.5886,2.5886,2.5851,2.5859,466.33
340908,2020-12-31 20:30:00,2.5747,2.5776,2.5747,2.5765,8878.81
340938,2020-12-31 20:00:00,2.5795,2.5805,2.579,2.5797,311.67
340968,2020-12-31 19:30:00,2.5819,2.5822,2.5813,2.5818,735.2
340998,2020-12-31 19:00:00,2.5779,2.5787,2.576,2.576,2398.8
341028,2020-12-31 18:30:00,2.5714,2.5761,2.571,2.5761,3154.83
341058,2020-12-31 18:00:00,2.5667,2.57,2.5664,2.5675,6397.7
341088,2020-12-31 17:30:00,2.5797,2.5813,2.579,2.5806,3144.22
341118,2020-12-31 17:00:00,2.5679,2.5692,2.5656,2.5692,16254.8
341148,2020-12-31 16:30:00,2.5889,2.5892,2.5879,2.5891,854.27
341178,2020-12-31 16:00:00,2.5756,2.5758,2.5602,2.5641,138474.82
341208,2020-12-31 15:30:00,2.573,2.573,2.5716,2.5716,11539.58
341238,2020-12-31 15:00:00,2.5661,2.5679,2.5658,2.5679,8371.23
341268,2020-12-31 14:30:00,2.5603,2.5622,2.5566,2.5608,5894.7
341298,2020-12-31 14:00:00,2.5633,2.5633,2.5544,2.5546,44440.85
341328,2020-12-31 13:30:00,2.5467,2.5589,2.5457,2.5555,24755.72
341358,2020-12-31 13:00:00,2.5547,2.5567,2.5502,2.5557,29260.66
341388,2020-12-31 12:30:00,2.5871,2.5878,2.5709,2.5742,85630.18
341418,2020-12-31 12:00:00,2.6119,2.6175,2.6089,2.6175,15605.25
341448,2020-12-31 11:30:00,2.6207,2.6207,2.6116,2.612,15415.61
341478,2020-12-31 11:00:00,2.652,2.652,2.6504,2.6519,3473.86
341508,2020-12-31 10:30:00,2.6288,2.6325,2.6288,2.6315,9019.12
341538,2020-12-31 10:00:00,2.6156,2.6159,2.6135,2.6135,839.07
341568,2020-12-31 09:30:00,2.6094,2.6103,2.6092,2.6103,2775.08
341598,2020-12-31 09:00:00,2.6,2.6003,2.5968,2.598,2957.87
341628,2020-12-31 08:30:00,2.5985,2.5997,2.5967,2.5976,7667.21
341658,2020-12-31 08:00:00,2.6152,2.6156,2.6103,2.6103,13666.64
341688,2020-12-31 07:30:00,2.6236,2.6254,2.6236,2.6252,12299.67
341718,2020-12-31 07:00:00,2.5721,2.5767,2.5721,2.5765,10668.33
341748,2020-12-31 06:30:00,2.5823,2.5826,2.5823,2.5826,2565.68
341778,2020-12-31 06:00:00,2.5873,2.588,2.5835,2.5862,34816.24
341808,2020-12-31 05:30:00,2.5929,2.5952,2.592,2.593,6545.92
341838,2020-12-31 05:00:00,2.6015,2.6021,2.6011,2.6019,449.11
341868,2020-12-31 04:30:00,2.6049,2.6063,2.6047,2.6057,4698.86
341898,2020-12-31 04:00:00,2.6085,2.6121,2.6085,2.6121,4548.97
341928,2020-12-31 03:30:00,2.6031,2.6087,2.603,2.6071,6745.28
341958,2020-12-31 03:00:00,2.5981,2.5991,2.5968,2.5968,10422.48
341988,2020-12-31 02:30:00,2.5934,2.5946,2.5928,2.5946,3252.65
342018,2020-12-31 02:00:00,2.5942,2.5942,2.5885,2.5892,23576.24
342048,2020-12-31 01:30:00,2.5784,2.5795,2.5729,2.5789,8837.4
342078,2020-12-31 01:00:00,2.6237,2.6267,2.6228,2.6229,12179.81
342108,2020-12-31 00:30:00,2.6414,2.6449,2.6334,2.6362,48914.73
342138,2020-12-31 00:00:00,2.6124,2.6135,2.6117,2.6128,3386.2
342168,2020-12-30 23:30:00,2.6015,2.6038,2.6012,2.6032,16623.06
342198,2020-12-30 23:00:00,2.5817,2.5847,2.5816,2.5833,3503.38
342228,2020-12-30 22:30:00,2.6015,2.6016,2.6015,2.6016,900.8
342258,2020-12-30 22:00:00,2.6013,2.6032,2.5998,2.6026,1138.51
342288,2020-12-30 21:30:00,2.6116,2.6135,2.6114,2.6132,1528.82
342318,2020-12-30 21:00:00,2.611,2.6121,2.6046,2.6115,16061.11
342348,2020-12-30 20:30:00,2.5896,2.5948,2.5896,2.5918,4469.86
342378,2020-12-30 20:00:00,2.6059,2.6097,2.6059,2.6097,9778.17
342408,2020-12-30 19:30:00,2.6177,2.6215,2.617,2.6205,15665.86
342438,2020-12-30 19:00:00,2.5808,2.5835,2.5798,2.581,5921.34
342468,2020-12-30 18:30:00,2.5785,2.5785,2.5722,2.5743,15457.88
342498,2020-12-30 18:00:00,2.5793,2.5802,2.5793,2.58,671.89
342528,2020-12-30 17:30:00,2.5734,2.5799,2.5726,2.5797,4029.13
342558,2020-12-30 17:00:00,2.5825,2.5828,2.5807,2.5813,2986.75
342588,2020-12-30 16:30:00,2.5826,2.5847,2.5809,2.5817,17270.4
342618,2020-12-30 16:00:00,2.6003,2.6137,2.6003,2.6115,52451.82
342648,2020-12-30 15:30:00,2.6088,2.6088,2.6058,2.6066,3721.06
342678,2020-12-30 15:00:00,2.6043,2.6044,2.5939,2.5939,12224.55
342708,2020-12-30 14:30:00,2.595,2.5956,2.5931,2.5953,7593.31
342738,2020-12-30 14:00:00,2.5688,2.5742,2.5682,2.5722,9921.89
342768,2020-12-30 13:30:00,2.5849,2.5853,2.5816,2.5827,3680.28
342798,2020-12-30 13:00:00,2.5816,2.5854,2.5816,2.5848,10916.02
342828,2020-12-30 12:30:00,2.567,2.5686,2.567,2.5686,489.94
342858,2020-12-30 12:00:00,2.5896,2.5914,2.5881,2.5891,3431.98
342888,2020-12-30 11:30:00,2.596,2.5975,2.5945,2.596,4232.8
342918,2020-12-30 11:00:00,2.5996,2.5996,2.5924,2.5931,25144.08
342948,2020-12-30 10:30:00,2.6058,2.6096,2.6002,2.601,13937.67
342978,2020-12-30 10:00:00,2.5774,2.5783,2.5726,2.5758,6089.74
343008,2020-12-30 09:30:00,2.587,2.587,2.5802,2.5805,11768.7
343038,2020-12-30 09:00:00,2.5722,2.5722,2.5604,2.5674,38118.78
343068,2020-12-30 08:30:00,2.5798,2.5869,2.5792,2.5829,28543.42
343098,2020-12-30 08:00:00,2.5763,2.5818,2.5763,2.5818,15394.48
343128,2020-12-30 07:30:00,2.5969,2.5969,2.5912,2.5912,8891.58
343158,2020-12-30 07:00:00,2.5955,2.5967,2.5917,2.5939,8156.49
343188,2020-12-30 06:30:00,2.5822,2.5845,2.5771,2.5789,49756.55
343218,2020-12-30 06:00:00,2.572,2.5744,2.5714,2.5719,20729.52
343248,2020-12-30 05:30:00,2.5467,2.5501,2.5467,2.5501,24517.77
343278,2020-12-30 05:00:00,2.5829,2.5839,2.5829,2.5835,748.58
343308,2020-12-30 04:30:00,2.5721,2.5721,2.5681,2.5703,4792.17
343338,2020-12-30 04:00:00,2.6166,2.6194,2.6161,2.6176,38185.79
343368,2020-12-30 03:30:00,2.6343,2.6367,2.6328,2.6364,13487.55
343398,2020-12-30 03:00:00,2.6231,2.6293,2.6231,2.6275,11636.06
343428,2020-12-30 02:30:00,2.6343,2.6424,2.6343,2.637,8233.71
343458,2020-12-30 02:00:00,2.6406,2.6454,2.6406,2.6417,2034.45
343488,2020-12-30 01:30:00,2.6529,2.6559,2.6529,2.6557,3424.83
343518,2020-12-30 01:00:00,2.6686,2.6686,2.6568,2.6601,33251.21
343548,2020-12-30 00:30:00,2.6534,2.6544,2.6466,2.6493,35135.64
343578,2020-12-30 00:00:00,2.6406,2.6472,2.6369,2.6453,23295.4
343608,2020-12-29 23:30:00,2.6148,2.6233,2.6148,2.6233,3685.86
343638,2020-12-29 23:00:00,2.6035,2.6089,2.6035,2.6067,6949.14
