,date,open,high,low,close,volume
340728,2020-12-31 23:30:00,739.89,739.9,738.33,738.57,372.62128
340758,2020-12-31 23:00:00,740.46,740.65,739.0,739.23,318.53834
340788,2020-12-31 22:30:00,739.12,739.21,738.64,738.64,154.50009
340818,2020-12-31 22:00:00,738.23,738.8,738.07,738.45,134.85522
340848,2020-12-31 21:30:00,739.68,740.1,739.51,740.1,314.66612
340878,2020-12-31 21:00:00,743.96,745.0,743.85,744.99,1483.1009
340908,2020-12-31 20:30:00,738.32,738.44,737.61,737.63,115.45308
340938,2020-12-31 20:00:00,738.76,738.9,738.48,738.69,127.96177
340968,2020-12-31 19:30:00,741.06,741.18,740.53,740.75,139.33655
340998,2020-12-31 19:00:00,739.88,740.25,739.24,739.24,349.86674
341028,2020-12-31 18:30:00,737.99,739.62,737.97,739.61,548.0406
341058,2020-12-31 18:00:00,737.2,738.13,736.69,736.74,315.59121
341088,2020-12-31 17:30:00,741.65,742.47,741.21,741.88,1017.20409
341118,2020-12-31 17:00:00,727.26,728.08,726.59,728.08,433.85236
341148,2020-12-31 16:30:00,733.1,733.54,732.91,733.27,272.02335
341178,2020-12-31 16:00:00,736.0,736.97,735.74,735.85,1376.7447
341208,2020-12-31 15:30:00,732.65,732.79,731.98,732.02,2095.98643
341238,2020-12-31 15:00:00,731.1,732.19,730.66,732.19,276.39469
341268,2020-12-31 14:30:00,728.89,728.96,727.49,728.36,402.25845
341298,2020-12-31 14:00:00,733.71,733.76,730.87,731.17,1975.147
341328,2020-12-31 13:30:00,731.58,733.7,730.65,733.05,1946.15108
341358,2020-12-31 13:00:00,735.04,735.1,731.8,732.55,4183.74568
341388,2020-12-31 12:30:00,742.75,742.76,741.49,742.33,479.21901
341418,2020-12-31 12:00:00,745.32,746.07,744.5,745.91,668.04802
341448,2020-12-31 11:30:00,748.05,748.05,746.86,747.32,550.49914
341478,2020-12-31 11:00:00,751.63,751.71,750.1,750.44,932.46116
341508,2020-12-31 10:30:00,749.2,749.67,748.68,748.88,636.55265
341538,2020-12-31 10:00:00,746.4,746.45,745.0,745.18,383.54811
341568,2020-12-31 09:30:00,746.09,746.6,745.95,746.37,302.08141
341598,2020-12-31 09:00:00,745.17,745.52,744.11,744.12,613.62942
341628,2020-12-31 08:30:00,743.1,743.59,742.8,743.59,276.97905
341658,2020-12-31 08:00:00,749.72,749.98,748.63,748.72,808.35421
341688,2020-12-31 07:30:00,751.59,752.75,751.59,752.75,429.67692
341718,2020-12-31 07:00:00,742.06,743.65,742.06,743.64,590.57677
341748,2020-12-31 06:30:00,743.07,743.18,742.37,742.91,245.97763
341778,2020-12-31 06:00:00,741.4,741.99,741.11,741.93,382.66186
341808,2020-12-31 05:30:00,739.11,740.47,739.06,739.94,1063.58947
341838,2020-12-31 05:00:00,742.99,743.25,742.41,743.13,424.54609
341868,2020-12-31 04:30:00,743.4,744.52,743.28,744.38,536.03777
341898,2020-12-31 04:00:00,743.04,745.19,743.03,744.11,1059.91879
341928,2020-12-31 03:30:00,739.66,740.97,739.66,740.1,433.39612
341958,2020-12-31 03:00:00,738.34,738.4,737.37,737.57,474.11064
341988,2020-12-31 02:30:00,739.75,741.04,739.56,741.03,681.6883
342018,2020-12-31 02:00:00,737.26,737.26,736.61,736.76,860.67133
342048,2020-12-31 01:30:00,733.22,733.83,731.19,733.72,1033.74965
342078,2020-12-31 01:00:00,745.45,746.81,745.0,745.04,757.22031
342108,2020-12-31 00:30:00,752.64,753.96,752.64,753.1,1804.46889
342138,2020-12-31 00:00:00,752.17,753.95,752.07,753.65,1456.86148
342168,2020-12-30 23:30:00,749.14,749.43,748.93,749.34,264.82002
342198,2020-12-30 23:00:00,744.58,746.04,744.58,745.14,285.23155
342228,2020-12-30 22:30:00,747.21,747.42,746.78,747.3,239.70887
342258,2020-12-30 22:00:00,747.6,748.41,747.44,747.98,448.44427
342288,2020-12-30 21:30:00,753.26,753.78,753.17,753.75,453.76918
342318,2020-12-30 21:00:00,751.68,753.01,751.07,752.92,1010.32131
342348,2020-12-30 20:30:00,750.17,751.5,750.12,750.96,574.29164
342378,2020-12-30 20:00:00,752.97,754.42,752.88,753.52,1437.97295
342408,2020-12-30 19:30:00,754.72,756.3,753.84,756.19,1614.40329
342438,2020-12-30 19:00:00,741.95,742.72,741.86,742.47,1453.69098
342468,2020-12-30 18:30:00,734.58,734.58,733.2,733.8,617.95131
342498,2020-12-30 18:00:00,736.27,736.5,735.91,736.09,387.15313
342528,2020-12-30 17:30:00,733.54,734.53,733.39,734.53,467.72293
342558,2020-12-30 17:00:00,733.85,733.93,733.0,733.01,156.08511
342588,2020-12-30 16:30:00,731.7,732.03,731.45,731.51,857.39696
342618,2020-12-30 16:00:00,734.05,736.72,733.91,736.16,1702.05388
342648,2020-12-30 15:30:00,733.2,733.2,732.32,732.67,485.1632
342678,2020-12-30 15:00:00,734.99,735.0,732.73,732.82,1454.1354
342708,2020-12-30 14:30:00,730.37,730.45,729.86,730.4,683.20157
342738,2020-12-30 14:00:00,725.04,726.25,724.5,725.64,463.43397
342768,2020-12-30 13:30:00,727.03,727.16,725.75,726.03,474.87024
342798,2020-12-30 13:00:00,722.99,723.71,722.69,723.6,311.61168
342828,2020-12-30 12:30:00,722.03,722.18,721.73,722.11,152.16807
342858,2020-12-30 12:00:00,725.42,725.92,725.04,725.51,522.40994
342888,2020-12-30 11:30:00,728.78,728.94,728.01,728.29,176.56688
342918,2020-12-30 11:00:00,729.41,729.41,727.41,728.0,533.09707
342948,2020-12-30 10:30:00,733.15,733.64,731.1,731.1,715.88635
342978,2020-12-30 10:00:00,725.67,725.7,724.6,725.31,519.57013
343008,2020-12-30 09:30:00,726.53,726.66,725.12,725.44,523.79038
343038,2020-12-30 09:00:00,728.77,728.77,725.0,727.23,3568.56961
343068,2020-12-30 08:30:00,729.56,731.5,729.31,730.07,2198.57093
343098,2020-12-30 08:00:00,733.24,735.17,733.12,734.91,850.23609
343128,2020-12-30 07:30:00,741.25,741.49,739.77,739.77,1011.99845
343158,2020-12-30 07:00:00,736.74,737.37,736.0,736.26,426.42873
343188,2020-12-30 06:30:00,731.17,732.88,731.1,732.15,1035.74972
343218,2020-12-30 06:00:00,731.38,731.87,731.28,731.59,170.44677
343248,2020-12-30 05:30:00,728.54,730.28,728.54,730.28,412.28435
343278,2020-12-30 05:00:00,730.26,731.22,730.19,731.21,302.35946
343308,2020-12-30 04:30:00,730.64,730.71,729.02,729.06,609.12074
343338,2020-12-30 04:00:00,734.2,735.43,733.5,735.35,917.65139
343368,2020-12-30 03:30:00,738.16,738.16,737.0,737.35,779.24435
343398,2020-12-30 03:00:00,740.16,741.73,739.95,741.24,596.08435
343428,2020-12-30 02:30:00,739.39,742.0,739.36,740.78,1624.77037
343458,2020-12-30 02:00:00,737.66,739.19,737.61,737.83,603.05487
343488,2020-12-30 01:30:00,738.59,739.67,738.36,739.67,505.01793
343518,2020-12-30 01:00:00,741.45,741.45,737.0,738.45,3014.59936
343548,2020-12-30 00:30:00,741.76,742.21,739.58,739.91,1893.21786
343578,2020-12-30 00:00:00,732.0,735.62,732.0,734.69,1833.58895
343608,2020-12-29 23:30:00,729.64,731.9,729.48,731.32,1442.8212
343638,2020-12-29 23:00:00,729.63,730.46,729.37,729.47,369.68864
343668,2020-12-29 22:30:00,724.94,725.07,724.83,725.0,100.5137
343698,2020-12-29 22:00:00,725.17,725.19,724.88,725.05,86.86537
343728,2020-12-29 21:30:00,727.46,727.99,725.52,725.68,703.03008
343758,2020-12-29 21:00:00,729.34,729.99,729.21,729.68,519.0681
343788,2020-12-29 20:30:00,725.66,725.9,725.26,725.89,402.82261
343818,2020-12-29 20:00:00,730.56,732.15,730.38,730.91,754.9966
343848,2020-12-29 19:30:00,728.39,729.0,728.04,728.14,729.69727
343878,2020-12-29 19:00:00,721.03,722.13,721.03,722.07,369.37658
343908,2020-12-29 18:30:00,722.48,723.5,721.82,722.04,459.5433
343938,2020-12-29 18:00:00,720.75,722.37,720.74,721.43,1645.09691
343968,2020-12-29 17:30:00,717.0,718.23,716.7,717.29,830.678
343998,2020-12-29 17:00:00,714.74,716.52,714.57,716.34,477.3309
344028,2020-12-29 16:30:00,709.56,710.0,707.71,707.71,920.54455
344058,2020-12-29 16:00:00,719.13,719.6,716.02,716.28,1617.4705
344088,2020-12-29 15:30:00,718.05,718.5,717.69,718.39,588.78219
344118,2020-12-29 15:00:00,722.09,723.0,721.65,721.8,691.22161
344148,2020-12-29 14:30:00,728.58,729.2,728.58,729.04,589.3992
344178,2020-12-29 14:00:00,729.75,731.09,729.75,730.72,421.88468
344208,2020-12-29 13:30:00,728.87,728.94,726.69,728.12,931.15584
344238,2020-12-29 13:00:00,729.13,732.06,729.11,731.74,729.63861
344268,2020-12-29 12:30:00,736.1,736.72,735.4,735.56,343.91495
344298,2020-12-29 12:00:00,731.39,733.9,731.01,731.56,2086.52911
344328,2020-12-29 11:30:00,727.55,727.82,726.0,726.45,921.54662
344358,2020-12-29 11:00:00,729.79,731.0,729.63,730.88,640.33116
344388,2020-12-29 10:30:00,733.0,733.56,732.36,732.36,1360.71616
344418,2020-12-29 10:00:00,722.3,724.5,722.3,724.42,404.62646
344448,2020-12-29 09:30:00,718.32,718.37,717.65,718.01,1460.64888
344478,2020-12-29 09:00:00,713.98,715.47,713.98,715.26,526.10064
344508,2020-12-29 08:30:00,711.62,711.7,710.48,710.54,608.11851
344538,2020-12-29 08:00:00,709.84,711.41,709.83,711.34,684.92181
344568,2020-12-29 07:30:00,706.01,707.52,706.0,707.52,342.68246
344598,2020-12-29 07:00:00,708.78,709.0,707.89,707.96,540.11114
344628,2020-12-29 06:30:00,711.99,712.1,710.19,710.7,1431.94001
344658,2020-12-29 06:00:00,707.39,707.5,705.26,705.27,1253.45513
344688,2020-12-29 05:30:00,699.0,699.0,695.77,696.86,987.94597
344718,2020-12-29 05:00:00,705.31,705.67,704.12,704.6,656.40986
344748,2020-12-29 04:30:00,703.55,704.99,703.0,703.0,649.78806
344778,2020-12-29 04:00:00,700.0,702.98,697.43,702.27,5224.3176
344808,2020-12-29 03:30:00,711.72,711.91,709.96,709.96,617.93469
344838,2020-12-29 03:00:00,721.08,721.23,720.66,720.9,405.46858
344868,2020-12-29 02:30:00,719.15,719.15,717.73,717.87,429.21805
344898,2020-12-29 02:00:00,718.18,718.18,716.61,717.0,446.50166
344928,2020-12-29 01:30:00,714.58,716.2,714.58,716.2,408.32988
344958,2020-12-29 01:00:00,719.7,719.7,716.76,716.85,1781.12041
344988,2020-12-29 00:30:00,733.48,733.49,730.82,730.88,1662.48369
345018,2020-12-29 00:00:00,730.4,733.0,729.89,732.49,3038.98471
345048,2020-12-28 23:30:00,732.0,732.43,731.18,732.09,434.25457
345078,2020-12-28 23:00:00,726.85,726.85,724.0,725.24,943.72441
345108,2020-12-28 22:30:00,732.95,732.99,731.08,731.08,425.52108
345138,2020-12-28 22:00:00,727.95,728.54,727.1,728.3,692.06072
345168,2020-12-28 21:30:00,735.15,735.15,734.29,734.86,593.34946
345198,2020-12-28 21:00:00,734.19,735.48,734.11,735.02,1058.22849
345228,2020-12-28 20:30:00,739.14,739.31,737.0,737.21,977.31797
345258,2020-12-28 20:00:00,744.24,744.33,742.37,743.73,1059.69505
345288,2020-12-28 19:30:00,743.25,743.7,742.57,743.7,436.38482
345318,2020-12-28 19:00:00,737.24,738.54,736.97,738.54,710.61782
345348,2020-12-28 18:30:00,742.7,743.65,740.89,742.5,1146.58413
345378,2020-12-28 18:00:00,739.15,739.69,738.16,738.4,603.69934
345408,2020-12-28 17:30:00,739.62,741.62,739.61,741.22,760.98697
345438,2020-12-28 17:00:00,737.95,737.99,736.0,737.46,734.73193
345468,2020-12-28 16:30:00,740.71,740.91,738.1,738.11,746.55034
345498,2020-12-28 16:00:00,729.4,732.26,729.18,729.18,1927.17712
345528,2020-12-28 15:30:00,732.94,734.34,732.54,734.25,940.93138
345558,2020-12-28 15:00:00,737.89,740.53,737.89,738.99,2732.82354
345588,2020-12-28 14:30:00,730.62,731.07,730.18,730.69,438.43766
345618,2020-12-28 14:00:00,727.21,729.92,727.21,729.28,873.07336
345648,2020-12-28 13:30:00,725.53,725.97,723.93,724.52,1455.66249
345678,2020-12-28 13:00:00,725.36,727.1,725.25,726.98,636.47229
345708,2020-12-28 12:30:00,730.14,731.6,730.0,730.08,1737.09549
345738,2020-12-28 12:00:00,732.0,733.32,731.48,732.71,1443.15935
345768,2020-12-28 11:30:00,729.51,729.75,728.77,728.98,632.18637
345798,2020-12-28 11:00:00,727.13,728.62,727.0,728.61,890.61842
345828,2020-12-28 10:30:00,730.5,730.99,729.27,729.74,2849.72011
345858,2020-12-28 10:00:00,733.29,735.43,732.8,735.41,2667.71752
345888,2020-12-28 09:30:00,738.4,739.1,736.28,736.29,2025.17129
345918,2020-12-28 09:00:00,740.21,740.21,736.49,736.88,1917.74793
345948,2020-12-28 08:30:00,733.35,735.0,733.05,734.23,1266.76299
345978,2020-12-28 08:00:00,733.5,737.87,733.25,735.8,5274.09874
346008,2020-12-28 07:30:00,732.18,732.63,729.09,729.31,3012.93237
346038,2020-12-28 07:00:00,713.12,713.17,711.58,712.66,1516.63285
346068,2020-12-28 06:30:00,708.8,709.96,708.8,709.88,379.88215
346098,2020-12-28 06:00:00,713.75,714.39,711.7,712.55,1883.06159
346128,2020-12-28 05:30:00,707.42,707.74,706.11,706.35,990.78266
346158,2020-12-28 05:00:00,704.46,706.2,704.1,705.64,1093.09068
346188,2020-12-28 04:30:00,702.09,703.29,702.09,703.13,433.78056
346218,2020-12-28 04:00:00,703.41,704.5,702.19,702.22,550.42137
346248,2020-12-28 03:30:00,700.55,701.57,699.88,700.08,873.23315
346278,2020-12-28 03:00:00,706.19,708.83,706.19,708.51,1061.31206
346308,2020-12-28 02:30:00,703.67,704.93,703.52,704.21,492.36728
346338,2020-12-28 02:00:00,706.42,707.48,705.48,707.47,1313.27533
346368,2020-12-28 01:30:00,709.46,709.58,707.03,708.07,1007.13404
346398,2020-12-28 01:00:00,707.86,707.99,704.99,705.51,1353.895
346428,2020-12-28 00:30:00,712.92,713.27,711.46,712.1,2353.66382
