,date,open,high,low,close,volume
340731,2020-12-31 23:30:00,11.2368,11.2368,11.176,11.1836,24642.87
340761,2020-12-31 23:00:00,11.1489,11.1491,11.1371,11.143,1474.64
340791,2020-12-31 22:30:00,11.195,11.195,11.1731,11.1771,2612.47
340821,2020-12-31 22:00:00,11.217,11.2204,11.2004,11.2131,2053.03
340851,2020-12-31 21:30:00,11.197,11.205,11.196,11.205,932.34
340881,2020-12-31 21:00:00,11.1919,11.2002,11.1896,11.1959,1932.21
340911,2020-12-31 20:30:00,11.1976,11.2021,11.1976,11.2008,1137.41
340941,2020-12-31 20:00:00,11.257,11.2579,11.2402,11.2465,1272.24
340971,2020-12-31 19:30:00,11.2516,11.2516,11.2242,11.2348,3761.85
341001,2020-12-31 19:00:00,11.2839,11.289,11.2585,11.2589,7472.04
341031,2020-12-31 18:30:00,11.2674,11.2826,11.261,11.279,5721.22
341061,2020-12-31 18:00:00,11.2834,11.2849,11.2743,11.2758,2336.16
341091,2020-12-31 17:30:00,11.3603,11.3669,11.3562,11.3573,1544.94
341121,2020-12-31 17:00:00,11.2535,11.2535,11.2404,11.2452,2058.25
341151,2020-12-31 16:30:00,11.3554,11.3598,11.3384,11.3384,2653.83
341181,2020-12-31 16:00:00,11.1957,11.1957,11.1141,11.1315,30376.66
341211,2020-12-31 15:30:00,11.1976,11.1988,11.1921,11.1962,3372.86
341241,2020-12-31 15:00:00,11.1943,11.2081,11.1818,11.2064,5780.85
341271,2020-12-31 14:30:00,11.2762,11.2775,11.2243,11.2679,18789.07
341301,2020-12-31 14:00:00,11.3877,11.3877,11.3671,11.3676,5396.78
341331,2020-12-31 13:30:00,11.3073,11.3252,11.2997,11.3202,3529.83
341361,2020-12-31 13:00:00,11.4306,11.4347,11.407,11.4154,7666.6
341391,2020-12-31 12:30:00,11.5367,11.5376,11.5,11.5002,7234.11
341421,2020-12-31 12:00:00,11.5501,11.5916,11.5427,11.5885,4840.44
341451,2020-12-31 11:30:00,11.6045,11.6075,11.5937,11.5992,2201.49
341481,2020-12-31 11:00:00,11.6782,11.6854,11.6706,11.6721,3496.66
