,date,open,high,low,close,volume
580048,2020-07-18 13:00:00,68.26,68.32,68.22,68.32,21.95
580078,2020-07-18 12:30:00,68.3,68.3,68.27,68.28,1.564
580108,2020-07-18 12:00:00,68.1,68.3,68.1,68.26,222.023
580138,2020-07-18 11:30:00,68.49,68.52,68.49,68.52,16.611
580168,2020-07-18 11:00:00,68.43,68.49,68.42,68.48,130.244
580198,2020-07-18 10:30:00,68.37,68.37,68.37,68.37,4.57
580228,2020-07-18 10:00:00,68.25,68.35,68.22,68.3,493.272
580258,2020-07-18 09:30:00,68.1,68.19,68.1,68.14,27.78
580288,2020-07-18 09:00:00,67.91,68.07,67.91,68.02,352.518
580318,2020-07-18 08:30:00,67.4,67.42,67.37,67.4,21.597
580348,2020-07-18 08:00:00,67.55,67.58,67.51,67.51,2.077
580378,2020-07-18 07:30:00,67.44,67.49,67.44,67.49,2.033
580408,2020-07-18 07:00:00,67.27,67.28,67.25,67.25,17.034
580438,2020-07-18 06:30:00,67.37,67.37,67.37,67.37,2.126
580468,2020-07-18 06:00:00,67.58,67.58,67.58,67.58,0.029
580498,2020-07-18 05:30:00,67.5,67.5,67.48,67.49,5.846
580528,2020-07-18 05:00:00,67.6,67.6,67.54,67.56,9.314
580558,2020-07-18 04:30:00,67.8,67.84,67.8,67.8,3.985
580588,2020-07-18 04:00:00,67.48,67.48,67.48,67.48,0.039
580618,2020-07-18 03:30:00,67.52,67.52,67.49,67.5,30.823
580648,2020-07-18 03:00:00,67.55,67.56,67.49,67.49,9.343
580678,2020-07-18 02:30:00,67.29,67.29,67.28,67.28,0.679
580708,2020-07-18 02:00:00,67.31,67.31,67.31,67.31,0.677
580738,2020-07-18 01:30:00,67.44,67.44,67.39,67.44,1.135
580768,2020-07-18 01:00:00,67.27,67.32,67.27,67.32,0.033
580798,2020-07-18 00:30:00,67.65,67.72,67.65,67.67,1.694
580828,2020-07-18 00:00:00,67.66,67.66,67.55,67.55,538.485
580858,2020-07-17 23:30:00,67.82,67.83,67.81,67.83,3.952
580888,2020-07-17 23:00:00,67.71,67.8,67.71,67.77,28.021
580918,2020-07-17 22:30:00,67.77,67.81,67.77,67.81,5.125
580948,2020-07-17 22:00:00,67.58,67.6,67.58,67.6,5.902
580978,2020-07-17 21:30:00,67.52,67.57,67.51,67.57,2.6
581008,2020-07-17 21:00:00,67.56,67.6,67.53,67.54,26.234
581038,2020-07-17 20:30:00,67.74,67.8,67.73,67.78,21.777
581068,2020-07-17 20:00:00,67.82,67.82,67.82,67.82,0.0
581098,2020-07-17 19:30:00,67.6,67.6,67.56,67.57,17.009
581128,2020-07-17 19:00:00,67.8,67.8,67.79,67.79,21.577
581158,2020-07-17 18:30:00,67.82,67.82,67.79,67.79,3.367
581188,2020-07-17 18:00:00,67.83,67.83,67.78,67.78,5.535
581218,2020-07-17 17:30:00,67.85,67.86,67.75,67.79,71.189
581248,2020-07-17 17:00:00,67.98,68.03,67.96,68.01,17.266
581278,2020-07-17 16:30:00,68.01,68.03,67.99,67.99,1.941
581308,2020-07-17 16:00:00,68.07,68.09,68.07,68.09,7.564
581338,2020-07-17 15:30:00,68.1,68.1,68.0,68.05,40.01
581368,2020-07-17 15:00:00,67.96,68.03,67.94,68.03,19.583
581398,2020-07-17 14:30:00,67.94,67.94,67.86,67.87,21.421
581428,2020-07-17 14:00:00,67.96,68.09,67.96,68.04,110.992
581458,2020-07-17 13:30:00,67.83,67.92,67.79,67.85,1215.899
581488,2020-07-17 13:00:00,67.91,68.05,67.91,68.02,253.182
581518,2020-07-17 12:30:00,68.17,68.23,68.17,68.22,263.262
581548,2020-07-17 12:00:00,67.96,68.06,67.96,68.04,333.588
581578,2020-07-17 11:30:00,67.45,67.47,67.42,67.45,46.035
581608,2020-07-17 11:00:00,67.43,67.51,67.41,67.51,127.285
581638,2020-07-17 10:30:00,67.86,67.89,67.81,67.89,6.977
581668,2020-07-17 10:00:00,67.63,67.68,67.55,67.61,131.358
581698,2020-07-17 09:30:00,67.56,67.64,67.56,67.63,27.503
581728,2020-07-17 09:00:00,67.57,67.57,67.53,67.53,1.646
581758,2020-07-17 08:30:00,67.33,67.33,67.25,67.28,57.417
581788,2020-07-17 08:00:00,67.63,67.65,67.54,67.54,97.199
581818,2020-07-17 07:30:00,67.86,67.86,67.78,67.78,54.426
581848,2020-07-17 07:00:00,67.98,68.09,67.8,68.04,665.72
581878,2020-07-17 06:30:00,67.91,68.02,67.9,67.97,98.164
581908,2020-07-17 06:00:00,67.58,67.75,67.57,67.75,307.306
581938,2020-07-17 05:30:00,67.45,67.46,67.42,67.46,23.762
581968,2020-07-17 05:00:00,67.39,67.42,67.38,67.42,2.611
581998,2020-07-17 04:30:00,67.52,67.54,67.48,67.49,31.943
582028,2020-07-17 04:00:00,67.61,67.61,67.61,67.61,0.504
582058,2020-07-17 03:30:00,67.69,67.77,67.69,67.73,286.847
582088,2020-07-17 03:00:00,67.87,67.87,67.84,67.86,13.453
582118,2020-07-17 02:30:00,67.96,67.97,67.9,67.92,3.491
582148,2020-07-17 02:00:00,67.43,67.57,67.42,67.51,49.165
582178,2020-07-17 01:30:00,67.69,67.97,67.69,67.93,177.807
582208,2020-07-17 01:00:00,67.46,67.52,67.46,67.46,4.096
582238,2020-07-17 00:30:00,67.44,67.44,67.43,67.43,30.665
582268,2020-07-17 00:00:00,67.78,67.82,67.71,67.82,537.269
582298,2020-07-16 23:30:00,67.54,67.61,67.53,67.53,56.73
582328,2020-07-16 23:00:00,67.58,67.74,67.58,67.7,469.544
582358,2020-07-16 22:30:00,67.39,67.43,67.39,67.4,63.382
582388,2020-07-16 22:00:00,67.04,67.12,67.04,67.06,29.488
582418,2020-07-16 21:30:00,67.15,67.15,67.12,67.12,0.025
582448,2020-07-16 21:00:00,67.02,67.04,66.99,66.99,189.633
582478,2020-07-16 20:30:00,66.68,66.78,66.68,66.75,4.728
582508,2020-07-16 20:00:00,67.25,67.47,67.24,67.47,832.569
582538,2020-07-16 19:30:00,67.52,67.55,67.49,67.53,26.439
582568,2020-07-16 19:00:00,67.36,67.45,67.36,67.43,218.879
582598,2020-07-16 18:30:00,67.94,67.96,67.83,67.83,54.155
582628,2020-07-16 18:00:00,68.0,68.05,67.98,68.01,14.258
